t fi z E
0.249000 0.044809 0.502263 4.004979
0.250000 0.045123 0.500266 4.004979
0.251000 0.045438 0.498269 4.004978
0.252000 0.045756 0.496271 4.004978
0.253000 0.046076 0.494274 4.004978
0.254000 0.046397 0.492277 4.004978
0.255000 0.046721 0.490280 4.004977
0.256000 0.047046 0.488283 4.004977
0.257000 0.047373 0.486286 4.004977
0.258000 0.047703 0.484288 4.004976
0.259000 0.048034 0.482291 4.004976
0.260000 0.048368 0.480294 4.004976
0.261000 0.048703 0.478297 4.004975
0.262000 0.049041 0.476300 4.004975
0.263000 0.049381 0.474303 4.004975
0.264000 0.049723 0.472306 4.004975
0.265000 0.050067 0.470310 4.004974
0.266000 0.050413 0.468313 4.004974
0.267000 0.050761 0.466316 4.004974
0.268000 0.051112 0.464319 4.004973
0.269000 0.051464 0.462322 4.004973
0.270000 0.051819 0.460325 4.004972
0.271000 0.052177 0.458328 4.004972
0.272000 0.052536 0.456332 4.004972
0.273000 0.052898 0.454335 4.004971
0.274000 0.053263 0.452338 4.004971
0.275000 0.053630 0.450342 4.004971
0.276000 0.053999 0.448345 4.004970
0.277000 0.054370 0.446348 4.004970
0.278000 0.054744 0.444352 4.004969
0.279000 0.055121 0.442355 4.004969
0.280000 0.055500 0.440358 4.004969
0.281000 0.055882 0.438362 4.004968
0.282000 0.056266 0.436365 4.004968
0.283000 0.056652 0.434369 4.004967
0.284000 0.057042 0.432373 4.004967
0.285000 0.057434 0.430376 4.004967
0.286000 0.057829 0.428380 4.004966
0.287000 0.058226 0.426383 4.004966
0.288000 0.058626 0.424387 4.004965
0.289000 0.059030 0.422391 4.004965
0.290000 0.059435 0.420394 4.004964
0.291000 0.059844 0.418398 4.004964
0.292000 0.060256 0.416402 4.004963
0.293000 0.060670 0.414406 4.004963
0.294000 0.061088 0.412410 4.004962
0.295000 0.061508 0.410413 4.004962
0.296000 0.061932 0.408417 4.004961
0.297000 0.062358 0.406421 4.004961
0.298000 0.062788 0.404425 4.004960
0.299000 0.063221 0.402429 4.004960
0.300000 0.063657 0.400433 4.004959
0.301000 0.064096 0.398437 4.004958
0.302000 0.064539 0.396441 4.004958
0.303000 0.064984 0.394445 4.004957
0.304000 0.065434 0.392449 4.004957
0.305000 0.065886 0.390454 4.004956
0.306000 0.066342 0.388458 4.004955
0.307000 0.066802 0.386462 4.004955
0.308000 0.067265 0.384466 4.004954
0.309000 0.067731 0.382471 4.004953
0.310000 0.068201 0.380475 4.004953
0.311000 0.068675 0.378479 4.004952
0.312000 0.069153 0.376484 4.004951
0.313000 0.069634 0.374488 4.004951
0.314000 0.070119 0.372493 4.004950
0.315000 0.070608 0.370497 4.004949
0.316000 0.071101 0.368502 4.004948
0.317000 0.071598 0.366506 4.004948
0.318000 0.072099 0.364511 4.004947
0.319000 0.072604 0.362516 4.004946
0.320000 0.073113 0.360520 4.004945
0.321000 0.073627 0.358525 4.004944
0.322000 0.074144 0.356530 4.004944
0.323000 0.074666 0.354534 4.004943
0.324000 0.075193 0.352539 4.004942
0.325000 0.075723 0.350544 4.004941
0.326000 0.076259 0.348549 4.004940
0.327000 0.076799 0.346554 4.004939
0.328000 0.077343 0.344559 4.004938
0.329000 0.077892 0.342564 4.004937
0.330000 0.078446 0.340569 4.004936
0.331000 0.079005 0.338574 4.004935
0.332000 0.079569 0.336579 4.004934
0.333000 0.080138 0.334585 4.004933
0.334000 0.080712 0.332590 4.004932
0.335000 0.081291 0.330595 4.004931
0.336000 0.081876 0.328600 4.004930
0.337000 0.082465 0.326606 4.004929
0.338000 0.083060 0.324611 4.004928
0.339000 0.083661 0.322617 4.004926
0.340000 0.084267 0.320622 4.004925
0.341000 0.084879 0.318628 4.004924
0.342000 0.085497 0.316633 4.004923
0.343000 0.086121 0.314639 4.004921
0.344000 0.086750 0.312645 4.004920
0.345000 0.087386 0.310650 4.004919
0.346000 0.088028 0.308656 4.004917
0.347000 0.088676 0.306662 4.004916
0.348000 0.089330 0.304668 4.004914
0.349000 0.089991 0.302674 4.004913
0.350000 0.090659 0.300680 4.004912
0.351000 0.091333 0.298686 4.004910
0.352000 0.092014 0.296692 4.004908
0.353000 0.092702 0.294698 4.004907
0.354000 0.093397 0.292705 4.004905
0.355000 0.094100 0.290711 4.004903
0.356000 0.094810 0.288717 4.004902
0.357000 0.095527 0.286723 4.004900
0.358000 0.096252 0.284730 4.004898
0.359000 0.096984 0.282736 4.004896
0.360000 0.097725 0.280743 4.004894
0.361000 0.098473 0.278750 4.004892
0.362000 0.099230 0.276756 4.004890
0.363000 0.099995 0.274763 4.004888
0.364000 0.100769 0.272770 4.004886
0.365000 0.101552 0.270777 4.004884
0.366000 0.102343 0.268784 4.004882
0.367000 0.103143 0.266791 4.004880
0.368000 0.103953 0.264798 4.004877
0.369000 0.104772 0.262805 4.004875
0.370000 0.105600 0.260812 4.004873
0.371000 0.106439 0.258819 4.004870
0.372000 0.107287 0.256827 4.004867
0.373000 0.108146 0.254834 4.004865
0.374000 0.109015 0.252842 4.004862
0.375000 0.109895 0.250849 4.004859
0.376000 0.110785 0.248857 4.004856
