t fi z E
2.020000 0.549674 1.632726 0.791963
2.030000 0.524310 1.637958 0.791531
2.040000 0.497401 1.643199 0.791327
2.050000 0.469042 1.648456 0.791357
2.060000 0.439332 1.653735 0.791625
2.070000 0.408376 1.659042 0.792129
2.080000 0.376280 1.664382 0.792865
2.090000 0.343157 1.669763 0.793826
2.100000 0.309123 1.675189 0.795001
2.110000 0.274295 1.680666 0.796374
2.120000 0.238793 1.686198 0.797927
2.130000 0.202741 1.691789 0.799640
2.140000 0.166263 1.697443 0.801486
2.150000 0.129483 1.703162 0.803439
2.160000 0.092526 1.708950 0.805471
2.170000 0.055519 1.714808 0.807551
2.180000 0.018583 1.720736 0.809649
2.190000 -0.018159 1.726735 0.811733
2.200000 -0.054587 1.732804 0.813773
2.210000 -0.090583 1.738942 0.815740
2.220000 -0.126035 1.745147 0.817607
2.230000 -0.160833 1.751417 0.819350
2.240000 -0.194871 1.757749 0.820946
2.250000 -0.228048 1.764140 0.822376
2.260000 -0.260269 1.770584 0.823624
2.270000 -0.291444 1.777078 0.824679
2.280000 -0.321488 1.783617 0.825530
2.290000 -0.350322 1.790196 0.826174
2.300000 -0.377874 1.796810 0.826607
2.310000 -0.404076 1.803453 0.826830
2.320000 -0.428867 1.810120 0.826848
2.330000 -0.452192 1.816805 0.826666
2.340000 -0.474003 1.823503 0.826293
2.350000 -0.494256 1.830208 0.825739
2.360000 -0.512912 1.836916 0.825016
2.370000 -0.529940 1.843622 0.824137
2.380000 -0.545313 1.850320 0.823116
2.390000 -0.559009 1.857007 0.821969
2.400000 -0.571011 1.863680 0.820710
2.410000 -0.581308 1.870333 0.819355
2.420000 -0.589892 1.876965 0.817921
2.430000 -0.596759 1.883573 0.816423
2.440000 -0.601913 1.890154 0.814878
2.450000 -0.605357 1.896707 0.813301
2.460000 -0.607102 1.903231 0.811707
2.470000 -0.607160 1.909725 0.810113
2.480000 -0.605550 1.916189 0.808533
2.490000 -0.602291 1.922623 0.806982
2.500000 -0.597409 1.929028 0.805474
